Principal Commodity,Country,Unit,Quantity 2011-12,Value (INR) 2011-12,Quantity 2012-13*,Value (INR) 2012-13*
TEA,AFGHANISTAN TIS,KGS,641058,80823418,766551,92563418
TEA,ALGERIA,KGS,352422,40456878,35000,4028062
TEA,ANGOLA,KGS,11511,1638109,11,2450
TEA,ARGENTINA,KGS,30,5536,1607,813210
TEA,ARMENIA,KGS,6970,1193148,4356,1290414
TEA,AUSTRALIA,KGS,8098795,1380635578,6893610,1350245869
TEA,AUSTRIA,KGS,512,415901,2131,1197676
TEA,AZERBAIJAN,KGS,27859,9925743,392524,51912612
TEA,BAHARAIN IS,KGS,449356,79092869,277428,59076016
TEA,BANGLADESH PR,KGS,2075949,140799298,2769702,264846058
TEA,BELIZE,KGS,0,0,48,7569
TEA,BELGIUM,KGS,273257,32834306,569332,70625213
TEA,BENIN,KGS,164569,34214282,157689,33559920
TEA,BOTSWANA,KGS,1068,203439,3104,129971
TEA,BRAZIL,KGS,7091,2807430,1560,1052928
TEA,BRUNEI,KGS,13541,2823549,108,41026
TEA,BULGARIA,KGS,210,44540,509,80570
TEA,BURKINA FASO,KGS,10997,1522431,11870,1598767
TEA,BELARUS,KGS,31136,5677986,33886,11602971
TEA,CAMBODIA,KGS,90,27262,0,0
TEA,CAMEROON,KGS,37500,3557502,0,0
TEA,CANADA,KGS,2281892,401173076,1669201,334670697
TEA,CAYMAN IS,KGS,40,15586,495,224496
TEA,CHAD,KGS,0,0,31,184887
TEA,CHILE,KGS,24586,4804969,10350,2672427
TEA,TAIWAN,KGS,531843,93814933,543063,120752468
TEA,CHINA P RP,KGS,3891875,668072806,4190678,771100875
TEA,COLOMBIA,KGS,72602,14637442,11,2450
TEA,CONGO P REP,KGS,147621,14330236,106899,14075051
TEA,COSTA RICA,KGS,504,50563,75,8100
TEA,CROATIA,KGS,84,61444,2431,172066
TEA,CUBA,KGS,0,0,2,1320
TEA,CYPRUS,KGS,7779,1918265,8349,2929258
TEA,CZECH REPUBLIC,KGS,14950,6568176,35136,9530528
TEA,DENMARK,KGS,13109,8034925,18358,11560175
TEA,DOMINICA,KGS,0,0,1,166
TEA,EGYPT A RP,KGS,6734206,643816904,10358326,1242189294
TEA,ESTONIA,KGS,76645,18985413,73246,11395398
TEA,ETHIOPIA,KGS,16,24840,0,0
TEA,FINLAND,KGS,284090,56901885,649840,85363189
TEA,FIJI IS,KGS,11694,4639288,563,832246
TEA,FRANCE,KGS,261903,98245948,165530,77310262
TEA,GABON,KGS,0,0,60,38751
TEA,GAMBIA,KGS,2844,189267,350,56109
TEA,GEORGIA,KGS,1505119,277649895,461322,102158323
TEA,GERMANY,KGS,8358907,2009154798,8328761,2303670800
TEA,GHANA,KGS,123652,21762903,110407,21740706
TEA,GREECE,KGS,23686,2440317,49701,6340940
TEA,GRENADA,KGS,0,0,4,1476
TEA,GUATEMALA,KGS,0,0,29,5200
TEA,GUINEA,KGS,92956,14520399,11212,1854220
TEA,GUYANA,KGS,4370,763952,4000,732241
TEA,HONG KONG,KGS,467306,94861888,703385,120515625
TEA,HUNGARY,KGS,4762,782696,16,8522
TEA,ICELAND,KGS,0,0,20000,3941599
TEA,INDONESIA,KGS,1623302,148297262,2251604,277652721
TEA,IRAN,KGS,11887443,2300634346,18541701,4026537974
TEA,IRAQ,KGS,62648,5951638,91809,11094773
TEA,IRELAND,KGS,2940610,849702529,3579558,1046460175
TEA,ISRAEL,KGS,869973,164039241,1178980,190062133
TEA,ITALY,KGS,1092965,177490091,3483936,337010440
TEA,COTE D' IVOIRE,KGS,16146,1998774,1226,380066
TEA,JAPAN,KGS,4039704,1243313412,3950709,1453192525
TEA,JORDAN,KGS,270486,27198838,55238,5474837
TEA,KAZAKHSTAN,KGS,16659082,2618209957,18075937,3346387297
TEA,KENYA,KGS,3374565,270825391,2805225,311501191
TEA,KIRIBATI REP,KGS,1100,710780,0,0
TEA,KOREA DP RP,KGS,2349,2854837,100448,37753110
TEA,KYRGHYZSTAN,KGS,415145,83348845,825509,157492230
TEA,KOREA RP,KGS,92325,27098735,172262,32088929
TEA,KUWAIT,KGS,518914,85261271,614498,111674306
TEA,LAO PD RP,KGS,0,0,48,34283
TEA,LATVIA,KGS,284559,46813399,105273,16466798
TEA,LEBANON,KGS,22258,8095794,25002,17039096
TEA,LIBERIA,KGS,20050,2076076,118,20952
TEA,LIBYA,KGS,70320,9491831,126024,14779797
TEA,LITHUANIA,KGS,28427,5341766,35811,12864278
TEA,MACAO,KGS,100,76133,0,0
TEA,MADAGASCAR,KGS,18,3871,130,26030
TEA,MALAWI,KGS,100,12072,0,0
TEA,MALAYSIA,KGS,1847454,153094616,1617352,177012928
TEA,MALDIVES,KGS,18252,3999019,26839,5995551
TEA,MALI,KGS,0,0,3,1620
TEA,MALTA,KGS,2,121,5,18148
TEA,MAURITANIA,KGS,0,0,9038,1438365
TEA,MAURITIUS,KGS,24746,3352806,10089,1961672
TEA,MYANMAR,KGS,10,1562,13,3770
TEA,MEXICO,KGS,137398,69922846,36151,12694564
TEA,MOLDOVA,KGS,12186,1278564,0,0
TEA,MONGOLIA,KGS,23365,4440661,25144,4355447
TEA,MOROCCO,KGS,69,59272,22000,5784350
TEA,MOZAMBIQUE,KGS,2846,637642,4292,1155639
TEA,NEPAL,KGS,195226,27326068,148764,39181455
TEA,NETHERLAND,KGS,5105628,1330601203,4120091,1147604802
TEA,NETHERLANDANTIL,KGS,78455,14895400,6469,2190002
TEA,NEW ZEALAND,KGS,112389,22963841,105955,26346229
TEA,NIGER,KGS,200,53872,0,0
TEA,NIGERIA,KGS,107406,10970701,74579,11951932
TEA,NORWAY,KGS,5952,907542,2817,1490198
TEA,OMAN,KGS,566594,79716777,399035,79413473
TEA,PAKISTAN IR,KGS,28076586,2075887146,23608648,2507970700
TEA,PALAU,KGS,50000,10250608,0,0
TEA,PANAMA REPUBLIC,KGS,1500,436265,1353,814934
TEA,PAPUA N GNA,KGS,30,7114,138,132159
TEA,PERU,KGS,2025,1246498,8379,752438
TEA,PHILIPPINES,KGS,207950,45922218,338996,78924243
TEA,POLAND,KGS,4617522,561960876,4073450,587264800
TEA,PORTUGAL,KGS,13519,1919652,18719,2359394
TEA,QATAR,KGS,551565,95897363,480115,103132219
TEA,REUNION,KGS,1169,326260,4996,728531
TEA,ROMANIA,KGS,2363,313310,1509,590220
TEA,RUSSIA,KGS,46731425,5789464176,45431810,6874410242
TEA,RWANDA,KGS,100,47432,0,0
TEA,SAUDI ARAB,KGS,7687937,1278763865,3012798,567021649
TEA,SENEGAL,KGS,11516,1472956,136543,21187848
TEA,SERBIA MONTNGRO,KGS,21005,3639680,11,2450
TEA,SEYCHELLES,KGS,2078,521524,10969,1740692
TEA,SIERRA LEONE,KGS,0,0,244,136375
TEA,SLOVAK REP,KGS,39,113385,71,221058
TEA,SINGAPORE,KGS,657705,115153250,826769,175931266
TEA,SLOVENIA,KGS,5,870,316,215984
TEA,SOUTH AFRICA,KGS,341176,34039859,57688,15299634
TEA,SPAIN,KGS,22103,3043835,52831,7518838
TEA,SRI LANKA DSR,KGS,4660440,663664822,1755344,259859209
TEA,ST LUCIA,KGS,31900,3384626,0,0
TEA,SUDAN,KGS,10412,1852677,64,5754
TEA,SURINAME,KGS,77159,12713808,62471,11583867
TEA,SWAZILAND,KGS,1295,831641,0,0
TEA,SWEDEN,KGS,279174,60646412,548985,87712364
TEA,SWITZERLAND,KGS,16366,7994974,49435,15525964
TEA,SYRIA,KGS,119716,16881042,205645,37194273
TEA,TAJIKISTAN,KGS,142738,17560789,87876,10977884
TEA,TANZANIA REP,KGS,2000,364071,2974,630289
TEA,THAILAND,KGS,265693,56164265,291064,58496751
TEA,TOGO,KGS,33549,5709612,164987,30833664
TEA,TRINIDAD,KGS,9809,1750900,302,97163
TEA,TUNISIA,KGS,28873018,625783501,3606200,326599688
TEA,TURKEY,KGS,333377,42311296,163520,20857365
TEA,TURKMENISTAN,KGS,20260,2074207,47126,5902405
TEA,UGANDA,KGS,335,134558,437,158582
TEA,U ARAB EMTS,KGS,25405061,4439628855,28386917,5216627534
TEA,U K,KGS,32580742,5080038681,30995151,5560571802
TEA,UKRAINE,KGS,2042077,247322258,2371750,349039408
TEA,U S A,KGS,18106426,3297302801,18157782,3654652012
TEA,UZBEKISTAN,KGS,346014,54035326,39900,6351160
TEA,VENEZUELA,KGS,0,0,51,4663
TEA,VIETNAM SOC REP,KGS,35080,16408302,18263,6765907
TEA,YEMEN REPUBLC,KGS,200003,14823620,210004,17609729
TEA,CONGO D. REP.,KGS,0,0,4336,1125544
TEA,ZAMBIA,KGS,3679,1088112,1584,540289
TEA,ZIMBABWE,KGS,250,73987,0,0
TEA,UNSPECIFIED,KGS,83680,14303413,174119,29392157
COFFEE,AFGHANISTAN TIS,KGS,2400,902200,20,7546
COFFEE,ALBANIA,KGS,1200864,123718481,886769,106890384
COFFEE,ALGERIA,KGS,7508700,827406179,1739422,211661920
COFFEE,ANGOLA,KGS,0,0,10960,6018807
COFFEE,ARMENIA,KGS,15000,3026115,38200,8988186
COFFEE,AUSTRALIA,KGS,4856315,767514017,6154702,1045576245
COFFEE,AUSTRIA,KGS,728282,87264077,1118605,132542842
COFFEE,AZERBAIJAN,KGS,0,0,7296,2064040
COFFEE,BAHARAIN IS,KGS,24877,4367281,67375,11613039
COFFEE,BANGLADESH PR,KGS,11893,5468057,49942,23603171
COFFEE,BELGIUM,KGS,18260959,2897231850,20265544,3525016382
COFFEE,BENIN,KGS,156240,58659423,164354,74489472
COFFEE,BHUTAN,KGS,10000,3834362,0,0
COFFEE,BRUNEI,KGS,0,0,98,48448
COFFEE,BULGARIA,KGS,286887,31647012,57000,7158480
COFFEE,BURKINA FASO,KGS,39079,11309138,170649,72470510
COFFEE,BURUNDI,KGS,0,0,960,541973
COFFEE,BELARUS,KGS,680417,199859049,643907,271811138
COFFEE,CAMEROON,KGS,36138,10931995,14469,6410788
COFFEE,CANADA,KGS,1644302,195388678,1189301,171961339
COFFEE,CHILE,KGS,0,0,19200,2384640
COFFEE,TAIWAN,KGS,1400838,324210288,1443277,403031378
COFFEE,CHINA P RP,KGS,277776,64429706,268063,81085500
COFFEE,CONGO P REP,KGS,115074,38175633,69900,28878025
COFFEE,CROATIA,KGS,2123935,233168525,1899871,236273523
COFFEE,CYPRUS,KGS,19200,1896960,35692,2304226
COFFEE,CZECH REPUBLIC,KGS,2850,1061078,4227,1543904
COFFEE,DENMARK,KGS,44040,4894617,709092,105703597
COFFEE,DJIBOUTI,KGS,95000,1092444,0,0
COFFEE,EGYPT A RP,KGS,3597070,704616983,2571552,427215897
COFFEE,ESTONIA,KGS,179552,34333697,376247,72566731
COFFEE,FINLAND,KGS,3368117,818930893,3512934,869627803
COFFEE,FIJI IS,KGS,12020,3422870,33,15167
COFFEE,FRANCE,KGS,2331901,457054675,2593195,711118006
COFFEE,FR POLYNESIA,KGS,15014,4886632,17210,7322165
COFFEE,GABON,KGS,37097,13158806,14366,6329697
COFFEE,GAMBIA,KGS,19945,7410305,32166,11113318
COFFEE,GEORGIA,KGS,415784,76267790,180439,58286268
COFFEE,GERMANY,KGS,34732596,5066129883,24477114,4057758678
COFFEE,GHANA,KGS,260018,93646552,212963,116586190
COFFEE,GREECE,KGS,6703441,711469358,6829503,844023435
COFFEE,GUINEA,KGS,24702,7925513,39379,13376561
COFFEE,HONG KONG,KGS,113561,25701558,19937,4293876
COFFEE,HUNGARY,KGS,71112,17096657,79257,19410682
COFFEE,ICELAND,KGS,19200,2369965,0,0
COFFEE,INDONESIA,KGS,849496,207520582,679517,245854968
COFFEE,IRAN,KGS,150682,40729755,152168,53624831
COFFEE,IRAQ,KGS,13198,1597479,0,0
COFFEE,IRELAND,KGS,115,29408,19641,5890698
COFFEE,ISRAEL,KGS,3683943,511805017,3609842,531974577
COFFEE,ITALY,KGS,67467079,9387877267,77103657,11212773551
COFFEE,COTE D' IVOIRE,KGS,94784,28738669,90427,34667651
COFFEE,JAMAICA,KGS,73329,7054730,0,0
COFFEE,JAPAN,KGS,1147552,255640438,1785910,467294232
COFFEE,JORDAN,KGS,9386269,1509310568,7408443,1342590951
COFFEE,KAZAKHSTAN,KGS,99649,22284925,91983,27300703
COFFEE,KENYA,KGS,33124,9029373,51210,20637098
COFFEE,KOREA DP RP,KGS,22532,6542885,2710,2216332
COFFEE,KOREA RP,KGS,2066601,530300738,552732,132832880
COFFEE,KUWAIT,KGS,4316556,860357074,4516240,840570139
COFFEE,LATVIA,KGS,1711778,376201224,1284307,313224580
COFFEE,LEBANON,KGS,697758,76332664,518800,66439990
COFFEE,LIBERIA,KGS,50,44700,100,43223
COFFEE,LIBYA,KGS,3938156,441208530,4778825,606139835
COFFEE,LITHUANIA,KGS,454532,130057935,474507,134496123
COFFEE,MACAO,KGS,40000,4169880,0,0
COFFEE,MALAYSIA,KGS,2731602,755452471,3183867,1063137173
COFFEE,MALDIVES,KGS,56,20511,1901,369299
COFFEE,MALI,KGS,131363,41609640,509393,228243106
COFFEE,MAURITANIA,KGS,332180,93149346,144240,64518490
COFFEE,MAURITIUS,KGS,1815,374368,700,135347
COFFEE,MYANMAR,KGS,501397,128466953,699140,223635895
COFFEE,MEXICO,KGS,309164,33856495,177450,22833964
COFFEE,MOLDOVA,KGS,18895,5609800,4560,2468189
COFFEE,MOROCCO,KGS,955120,106806662,395600,51729767
COFFEE,MOZAMBIQUE,KGS,297,33833,442,203787
COFFEE,NEPAL,KGS,170094,110259069,524377,125806514
COFFEE,NETHERLAND,KGS,3058245,430262467,1290515,238403112
COFFEE,NETHERLANDANTIL,KGS,14,7739,7,2454
COFFEE,NEW CALEDONIA,KGS,19036,2090370,0,0
COFFEE,NEW ZEALAND,KGS,324450,54269627,384056,63001988
COFFEE,NIGER,KGS,107558,28387029,276593,103995036
COFFEE,NIGERIA,KGS,195619,58669946,184294,75637331
COFFEE,NORWAY,KGS,792336,110880281,586149,109596521
COFFEE,OMAN,KGS,836836,119974010,793251,119304105
COFFEE,PAKISTAN IR,KGS,2060,489768,0,0
COFFEE,PANAMA REPUBLIC,KGS,3,400,0,0
COFFEE,PERU,KGS,18000,2443428,0,0
COFFEE,PHILIPPINES,KGS,1050,1007920,410,257164
COFFEE,POLAND,KGS,2595635,538374457,1494935,425125904
COFFEE,PORTUGAL,KGS,3429332,376497884,2882272,364940857
COFFEE,QATAR,KGS,59196,9613899,174569,33673077
COFFEE,ROMANIA,KGS,694727,123030995,548100,80269606
COFFEE,RUSSIA,KGS,14464722,4501328872,11131779,4058056087
COFFEE,SAUDI ARAB,KGS,6583538,987683117,3402551,590252343
COFFEE,SENEGAL,KGS,287151,88096765,299736,149071493
COFFEE,SERBIA MONTNGRO,KGS,19036,1915461,210108,26117187
COFFEE,SEYCHELLES,KGS,170,60201,1,1420
COFFEE,SIERRA LEONE,KGS,0,0,591,320757
COFFEE,SLOVAK REP,KGS,19000,3958666,19000,2939059
COFFEE,SINGAPORE,KGS,1887742,455150753,1122511,338955117
COFFEE,SLOVENIA,KGS,9358282,1035757862,13401600,1647777985
COFFEE,SOUTH AFRICA,KGS,457754,80594337,130389,26646537
COFFEE,SPAIN,KGS,12796849,1461965375,6589824,881502159
COFFEE,SRI LANKA DSR,KGS,40790,9597488,54131,13092549
COFFEE,SUDAN,KGS,165,13950,0,0
COFFEE,SWAZILAND,KGS,19036,1985207,0,0
COFFEE,SWEDEN,KGS,397589,69174390,285500,59009148
COFFEE,SWITZERLAND,KGS,2457060,409467654,2398916,470931423
COFFEE,SYRIA,KGS,4872872,683251457,3480045,599517759
COFFEE,TANZANIA REP,KGS,1214,545429,364,73593
COFFEE,THAILAND,KGS,14774,5517658,9180,3803615
COFFEE,TOGO,KGS,268294,72365934,162007,78525753
COFFEE,TRINIDAD,KGS,0,0,5,1840
COFFEE,TUNISIA,KGS,4602019,593838920,395277,48203648
COFFEE,TURKEY,KGS,1156556,315578516,2780768,1060904750
COFFEE,TURKMENISTAN,KGS,111425,27583854,39768,13186671
COFFEE,UGANDA,KGS,0,0,89573,6872218
COFFEE,U ARAB EMTS,KGS,2441936,515832563,2303616,403666902
COFFEE,U K,KGS,2885086,452400882,2012732,398059482
COFFEE,UKRAINE,KGS,2901428,801628057,3241634,1126015229
COFFEE,U S A,KGS,5018458,1111076255,4215469,1662279462
COFFEE,UZBEKISTAN,KGS,273106,55227713,191103,70462206
COFFEE,VIETNAM SOC REP,KGS,392004,95659332,546143,172323818
COFFEE,VIRGIN IS US,KGS,33000,4947696,0,0
COFFEE,YEMEN REPUBLC,KGS,0,0,26000,1881390
COFFEE,CONGO D. REP.,KGS,32500,5386472,43329,19642836
COFFEE,ZAMBIA,KGS,3592,1216964,0,0
COFFEE,UNSPECIFIED,KGS,95516,16991751,0,0
PULSES,AFGHANISTAN TIS,TON,22,592020,0,0
PULSES,ALGERIA,TON,32200,2112394859,36853,2697489461
PULSES,ANGOLA,TON,21,1413446,0,0
PULSES,AUSTRALIA,TON,184,12461142,374,25196172
PULSES,AZERBAIJAN,TON,67,5025532,48,3875277
PULSES,BAHARAIN IS,TON,752,46182853,1029,59656457
PULSES,BANGLADESH PR,TON,9,190047,372,17245230
PULSES,BELIZE,TON,0,0,0,6382
PULSES,BELGIUM,TON,70,4881874,23,997761
PULSES,BENIN,TON,3,150358,0,0
PULSES,BOTSWANA,TON,0,34415,1,116772
PULSES,BRAZIL,TON,238,17206522,0,0
PULSES,BRUNEI,TON,14,1215303,22,1917454
PULSES,BELARUS,TON,0,0,1,115407
PULSES,CAMEROON,TON,0,0,0,3642
PULSES,CANADA,TON,259,16295963,929,54988739
PULSES,TAIWAN,TON,57,3464601,29,1827598
PULSES,CHINA P RP,TON,0,0,30,1494477
PULSES,CONGO P REP,TON,21,1726102,0,0
PULSES,COSTA RICA,TON,46,2489953,24,1441720
PULSES,CROATIA,TON,24,1390350,48,2465532
PULSES,DJIBOUTI,TON,0,2233,0,0
PULSES,EGYPT A RP,TON,3306,184266461,8123,524208926
PULSES,ETHIOPIA,TON,0,4773,9,539423
PULSES,FIJI IS,TON,29,2007220,24,429002
PULSES,FRANCE,TON,1855,116277985,968,64030159
PULSES,GAMBIA,TON,1,40920,0,0
PULSES,GEORGIA,TON,116,7003429,560,38765508
PULSES,GERMANY,TON,50,3470473,121,6945287
PULSES,GHANA,TON,0,4392,0,0
PULSES,GREECE,TON,91,3835148,66,4238842
PULSES,GUINEA,TON,0,642,0,8880
PULSES,GUYANA,TON,693,51020088,384,27181825
PULSES,HONG KONG,TON,86,3107907,97,4010894
PULSES,HUNGARY,TON,23,1087034,0,0
PULSES,INDONESIA,TON,40,2019252,26,1704132
PULSES,IRAN,TON,789,43557924,2158,150042365
PULSES,IRAQ,TON,360,29996086,758,54189489
PULSES,ISRAEL,TON,283,20800364,608,36786571
PULSES,ITALY,TON,1116,62066202,550,33680958
PULSES,COTE D' IVOIRE,TON,0,3862,0,0
PULSES,JAPAN,TON,154,10473919,310,17626158
PULSES,JORDAN,TON,2194,166545220,2061,151062953
PULSES,KAZAKHSTAN,TON,2,88104,1,35688
PULSES,KENYA,TON,5,331712,54,4677228
PULSES,KOREA RP,TON,24,1679130,25,1450896
PULSES,KUWAIT,TON,2618,176935065,3109,233371925
PULSES,LEBANON,TON,472,30206828,578,34180559
PULSES,LIBYA,TON,535,38989604,1148,74631465
PULSES,MADAGASCAR,TON,0,0,0,7631
PULSES,MALAWI,TON,1,48412,129,9504366
PULSES,MALAYSIA,TON,2118,138219029,2260,150484018
PULSES,MALDIVES,TON,21,1699179,140,1828620
PULSES,MALTA,TON,7,435967,4,386460
PULSES,MAURITIUS,TON,20,537306,50,2447333
PULSES,MYANMAR,TON,0,0,1,50443
PULSES,MOROCCO,TON,125,8702514,216,11166321
PULSES,MOZAMBIQUE,TON,0,0,1,117241
PULSES,NEPAL,TON,144,5894329,40,1570759
PULSES,NETHERLAND,TON,112,8369372,61,4756425
PULSES,NETHERLANDANTIL,TON,0,15962,0,2146
PULSES,NEW ZEALAND,TON,118,7078387,244,15402829
PULSES,NIGERIA,TON,7,295508,3,222481
PULSES,OMAN,TON,965,61210428,744,53215213
PULSES,PAKISTAN IR,TON,42484,2186529496,58604,2956604026
PULSES,PHILIPPINES,TON,399,15528901,216,14880354
PULSES,POLAND,TON,5,288475,1,24411
PULSES,PORTUGAL,TON,3816,192071628,2064,115780533
PULSES,QATAR,TON,389,15371467,643,35026033
PULSES,REUNION,TON,0,16414,0,0
PULSES,ROMANIA,TON,0,0,24,1572060
PULSES,RUSSIA,TON,104,6554455,298,20710387
PULSES,SAUDI ARAB,TON,7704,489879728,9679,618731948
PULSES,SEYCHELLES,TON,3,108406,7,270110
PULSES,SIERRA LEONE,TON,0,0,0,4833
PULSES,SINGAPORE,TON,651,40114728,1293,67769020
PULSES,SOUTH AFRICA,TON,216,11098974,274,15119490
PULSES,SPAIN,TON,4894,212742375,3192,197850811
PULSES,SRI LANKA DSR,TON,16722,1166078344,12713,845983166
PULSES,SUDAN,TON,0,29719,0,0
PULSES,SURINAME,TON,72,4346843,1,55854
PULSES,SWEDEN,TON,0,0,27,1637156
PULSES,SWITZERLAND,TON,10,755317,1,79220
PULSES,SYRIA,TON,1,295692,40,2422049
PULSES,TAJIKISTAN,TON,0,0,48,2688525
PULSES,TANZANIA REP,TON,44,1249741,11,724700
PULSES,THAILAND,TON,140,10012485,96,6643670
PULSES,TRINIDAD,TON,919,60988458,480,36017116
PULSES,TUNISIA,TON,3554,241550039,3011,226741206
PULSES,TURKEY,TON,23816,1599298584,27720,2031537526
PULSES,TURKMENISTAN,TON,0,0,24,1698892
PULSES,UGANDA,TON,0,0,3,241527
PULSES,U ARAB EMTS,TON,12955,811206582,11169,703034265
PULSES,U K,TON,467,24194852,526,30599483
PULSES,U S A,TON,1945,122438043,3169,220807185
PULSES,VIETNAM SOC REP,TON,225,15655065,496,37234295
PULSES,YEMEN REPUBLC,TON,132,9480016,384,22453052
PULSES,CONGO D. REP.,TON,35,2798621,23,258543
PULSES,ZAMBIA,TON,4,201039,0,23341
PULSES,UNSPECIFIED,TON,29,2091570,0,0
RICE -BASMOTI,AFGHANISTAN TIS,TON,310,12082240,1553,80591774
RICE -BASMOTI,ALGERIA,TON,678,37902148,876,47822582
RICE -BASMOTI,ANGOLA,TON,304,17639146,883,58417642
RICE -BASMOTI,ARGENTINA,TON,33,1664640,49,1793331
RICE -BASMOTI,AUSTRALIA,TON,15859,1012118587,20214,1450442004
RICE -BASMOTI,AUSTRIA,TON,533,39866455,484,39770694
RICE -BASMOTI,AZERBAIJAN,TON,5010,228435795,6091,376743376
RICE -BASMOTI,BAHARAIN IS,TON,13846,763313033,18744,1192057923
RICE -BASMOTI,BANGLADESH PR,TON,69,4211740,101,6605635
RICE -BASMOTI,BELGIUM,TON,23281,1161213677,54959,2647295177
RICE -BASMOTI,BENIN,TON,1143,44640500,1070,65595368
RICE -BASMOTI,BERMUDA,TON,0,0,14,272465
RICE -BASMOTI,BHUTAN,TON,0,0,196,11143258
RICE -BASMOTI,BOSNIA-HRZGOVIN,TON,24,964768,0,0
RICE -BASMOTI,BOTSWANA,TON,253,14454639,197,13661361
RICE -BASMOTI,BRAZIL,TON,52,2872942,23,2090565
RICE -BASMOTI,BRUNEI,TON,141,8712575,239,16184222
RICE -BASMOTI,BULGARIA,TON,53,2550528,121,6869626
RICE -BASMOTI,BURKINA FASO,TON,3,222573,66,3195668
RICE -BASMOTI,BELARUS,TON,70,3220409,64,5220504
RICE -BASMOTI,CAMBODIA,TON,0,0,1,104327
RICE -BASMOTI,CAMEROON,TON,237,13145976,111,5423552
RICE -BASMOTI,CANADA,TON,28458,1740242445,27610,1675376889
RICE -BASMOTI,CAYMAN IS,TON,5,104354,46,3295165
RICE -BASMOTI,CHAD,TON,0,0,0,16938
RICE -BASMOTI,CHILE,TON,67,3970912,142,7607755
RICE -BASMOTI,TAIWAN,TON,36,2384550,63,4683858
RICE -BASMOTI,CHINA P RP,TON,0,0,1,31776
RICE -BASMOTI,COMOROS,TON,126,7132294,235,15995575
RICE -BASMOTI,CONGO P REP,TON,182,8057292,343,18988778
RICE -BASMOTI,COSTA RICA,TON,2,142203,5,475200
RICE -BASMOTI,CROATIA,TON,0,0,67,3006360
RICE -BASMOTI,CUBA,TON,74,4508421,0,0
RICE -BASMOTI,CYPRUS,TON,848,44967791,706,45661107
RICE -BASMOTI,CZECH REPUBLIC,TON,28,1608217,98,6277225
RICE -BASMOTI,DENMARK,TON,528,31572448,580,34499218
RICE -BASMOTI,DJIBOUTI,TON,1832,73297318,1828,84173681
RICE -BASMOTI,EGYPT A RP,TON,6062,277331947,7527,413175458
RICE -BASMOTI,ESTONIA,TON,20,1159200,20,1431045
RICE -BASMOTI,ETHIOPIA,TON,1391,62715449,833,44053617
RICE -BASMOTI,EQUTL GUINEA,TON,86,5065225,178,12407513
RICE -BASMOTI,FINLAND,TON,81,4210794,139,8640124
RICE -BASMOTI,FIJI IS,TON,114,6369000,260,16071269
RICE -BASMOTI,FRANCE,TON,14830,714333616,18949,903459970
RICE -BASMOTI,GABON,TON,0,0,0,24541
RICE -BASMOTI,GAMBIA,TON,21,1213523,56,3384175
RICE -BASMOTI,GEORGIA,TON,9714,512345987,17860,1123053621
RICE -BASMOTI,GERMANY,TON,17922,962803102,15896,865575368
RICE -BASMOTI,GHANA,TON,211,9886313,781,30335698
RICE -BASMOTI,GREECE,TON,2116,53108299,1203,59181285
RICE -BASMOTI,GUADELOUPE,TON,924,37465587,643,30215148
RICE -BASMOTI,GUINEA,TON,134,7073497,130,8182034
RICE -BASMOTI,HAITI,TON,25,1121940,0,0
RICE -BASMOTI,HONG KONG,TON,702,39772886,878,55013438
RICE -BASMOTI,INDONESIA,TON,76,5203841,155,9838080
RICE -BASMOTI,IRAN,TON,614921,28432122365,1082378,64645993965
RICE -BASMOTI,IRAQ,TON,151961,6728688627,204261,10766714906
RICE -BASMOTI,IRELAND,TON,51,2923834,168,10599990
RICE -BASMOTI,ISRAEL,TON,9889,554058202,12950,756303032
RICE -BASMOTI,ITALY,TON,24044,1079592605,41158,1940227035
RICE -BASMOTI,COTE D' IVOIRE,TON,647,13119653,365,10696484
RICE -BASMOTI,JAMAICA,TON,228,14573698,257,19149468
RICE -BASMOTI,JAPAN,TON,157,15483758,181,12196766
RICE -BASMOTI,JORDAN,TON,52928,2424612279,89462,4403374715
RICE -BASMOTI,KAZAKHSTAN,TON,12,488124,29,1491189
RICE -BASMOTI,KENYA,TON,3601,158086856,2943,160627760
RICE -BASMOTI,KYRGHYZSTAN,TON,80,3701107,0,0
RICE -BASMOTI,KOREA RP,TON,3,150453,20,1299318
RICE -BASMOTI,KUWAIT,TON,199869,13629208004,163252,10592793528
RICE -BASMOTI,LEBANON,TON,2252,135718364,3468,232794588
RICE -BASMOTI,LIBERIA,TON,0,0,0,3333
RICE -BASMOTI,LIBYA,TON,252,11656640,293,19142328
RICE -BASMOTI,LITHUANIA,TON,287,14364716,271,17885985
RICE -BASMOTI,MACAO,TON,9,253397,0,0
RICE -BASMOTI,MADAGASCAR,TON,30,2219420,351,11329699
RICE -BASMOTI,MALAWI,TON,5,164882,0,0
RICE -BASMOTI,MALAYSIA,TON,2036,126814000,5862,395209163
RICE -BASMOTI,MALDIVES,TON,142,8027629,288,18620910
RICE -BASMOTI,MALI,TON,2,75392,69,2686434
RICE -BASMOTI,MARTINIQUE,TON,16,993445,32,2098135
RICE -BASMOTI,MAURITANIA,TON,580,28406518,1360,76601429
RICE -BASMOTI,MAURITIUS,TON,23303,1229289780,25595,1598220745
RICE -BASMOTI,MEXICO,TON,15,1035918,0,0
RICE -BASMOTI,MOLDOVA,TON,25,1130865,0,0
RICE -BASMOTI,MONGOLIA,TON,0,0,5,324081
